Time,Bitrate,Delay,Jitter,Loss
0.000000,5128.000000,0.000533,0.000156,0.000000
1.000000,5032.000000,0.000623,0.000281,0.000000
2.000000,5112.000000,0.000598,0.000236,0.000000
3.000000,5056.000000,0.000649,0.000306,0.000000
4.000000,4832.000000,0.000689,0.000337,0.000000
5.000000,4768.000000,0.000688,0.000375,0.000000
6.000000,4872.000000,0.000764,0.000453,0.000000
7.000000,4712.000000,0.000680,0.000365,0.000000
8.000000,5112.000000,0.000634,0.000274,0.000000
9.000000,5248.000000,0.000583,0.000172,0.000000
10.000000,5248.000000,0.000573,0.000193,0.000000
11.000000,5096.000000,0.000619,0.000245,0.000000
12.000000,5208.000000,0.000582,0.000214,0.000000
13.000000,5184.000000,0.000656,0.000278,0.000000
14.000000,5072.000000,0.000605,0.000234,0.000000
15.000000,5064.000000,0.000639,0.000278,0.000000
16.000000,5000.000000,0.000672,0.000327,0.000000
17.000000,5072.000000,0.000623,0.000253,0.000000
18.000000,5168.000000,0.000621,0.000247,0.000000
19.000000,5112.000000,0.000675,0.000298,0.000000
20.000000,5160.000000,0.000620,0.000249,0.000000
21.000000,4896.000000,0.000770,0.000418,0.000000
22.000000,5032.000000,0.000691,0.000348,0.000000
23.000000,4904.000000,0.000665,0.000336,0.000000
24.000000,4864.000000,0.000682,0.000365,0.000000
25.000000,5288.000000,0.000547,0.000156,0.000000
26.000000,5024.000000,0.000710,0.000269,0.000000
27.000000,5032.000000,0.000659,0.000295,0.000000
28.000000,5024.000000,0.000637,0.000291,0.000000
29.000000,5080.000000,0.000636,0.000266,0.000000
30.000000,4928.000000,0.000682,0.000326,0.000000
31.000000,4984.000000,0.000657,0.000309,0.000000
32.000000,5232.000000,0.000527,0.000123,0.000000
33.000000,5136.000000,0.000570,0.000221,0.000000
34.000000,5200.000000,0.000559,0.000211,0.000000
35.000000,5248.000000,0.000519,0.000127,0.000000
36.000000,4816.000000,0.000676,0.000367,0.000000
37.000000,4992.000000,0.000588,0.000243,0.000000
38.000000,4888.000000,0.000750,0.000445,1.000000
39.000000,4984.000000,0.000663,0.000338,0.000000
40.000000,5096.000000,0.000639,0.000282,0.000000
41.000000,4904.000000,0.000685,0.000354,0.000000
42.000000,5192.000000,0.000606,0.000228,0.000000
43.000000,5144.000000,0.000682,0.000307,0.000000
44.000000,4920.000000,0.000705,0.000351,0.000000
45.000000,5232.000000,0.000609,0.000208,0.000000
46.000000,4992.000000,0.000689,0.000377,0.000000
47.000000,5152.000000,0.000621,0.000255,0.000000
48.000000,5120.000000,0.000659,0.000293,0.000000
49.000000,4952.000000,0.000677,0.000345,0.000000
50.000000,5128.000000,0.000602,0.000286,0.000000
51.000000,5192.000000,0.000609,0.000234,0.000000
52.000000,5152.000000,0.000614,0.000214,0.000000
53.000000,5040.000000,0.000627,0.000257,0.000000
54.000000,5152.000000,0.000621,0.000239,0.000000
55.000000,5152.000000,0.000641,0.000250,0.000000
56.000000,5216.000000,0.000596,0.000227,0.000000
57.000000,4992.000000,0.000638,0.000302,0.000000
58.000000,4848.000000,0.000661,0.000354,0.000000
59.000000,5040.000000,0.000622,0.000287,0.000000
