timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s, Jitter ms, lost datagrams,total datagrams, lost datagrams in %,0
20231120104308,10.4.0.2,5001,10.2.0.2,41096,3,0.0-1.0,32444370,259554960,0.078,0,22071,0.000,0
20231120104309,10.4.0.2,5001,10.2.0.2,41096,3,1.0-2.0,32733960,261871680,0.071,0,22268,0.000,0
20231120104310,10.4.0.2,5001,10.2.0.2,41096,3,2.0-3.0,31903410,255227280,0.056,0,21703,0.000,0
20231120104311,10.4.0.2,5001,10.2.0.2,41096,3,3.0-4.0,32816280,262530240,0.091,0,22324,0.000,0
20231120104312,10.4.0.2,5001,10.2.0.2,41096,3,4.0-5.0,32695740,261565920,0.068,0,22242,0.000,0
20231120104313,10.4.0.2,5001,10.2.0.2,41096,3,5.0-6.0,32888310,263106480,0.070,0,22373,0.000,0
20231120104314,10.4.0.2,5001,10.2.0.2,41096,3,6.0-7.0,32660460,261283680,0.088,0,22218,0.000,0
20231120104315,10.4.0.2,5001,10.2.0.2,41096,3,7.0-8.0,32882430,263059440,0.065,0,22369,0.000,0
20231120104317,10.4.0.2,5001,10.2.0.2,41096,3,8.0-9.0,32667810,261342480,0.092,0,22223,0.000,0
20231120104317,10.4.0.2,5001,10.2.0.2,41096,3,9.0-10.0,32833920,262671360,0.053,0,22336,0.000,0
20231120104319,10.4.0.2,5001,10.2.0.2,41096,3,10.0-11.0,32733960,261871680,0.075,0,22268,0.000,0
20231120104319,10.4.0.2,5001,10.2.0.2,41096,3,11.0-12.0,32766300,262130400,0.054,0,22290,0.000,0
20231120104321,10.4.0.2,5001,10.2.0.2,41096,3,12.0-13.0,32797170,262377360,0.092,0,22311,0.000,0
20231120104321,10.4.0.2,5001,10.2.0.2,41096,3,13.0-14.0,32675160,261401280,0.058,0,22228,0.000,0
20231120104323,10.4.0.2,5001,10.2.0.2,41096,3,14.0-15.0,32900070,263200560,0.084,0,22381,0.000,0
