timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s, Jitter ms, lost datagrams,total datagrams, lost datagrams in %,0
20231117151307,10.1.0.2,45463,10.1.0.3,5001,1,50.0-51.0,53712330,429698640,0.017,14495,51034,28.403,661
20231117151308,10.1.0.2,45463,10.1.0.3,5001,1,51.0-52.0,54275340,434202720,0.022,14085,51007,27.614,525
20231117151309,10.1.0.2,45463,10.1.0.3,5001,1,52.0-53.0,53527110,428216880,0.032,14605,51018,28.627,619
20231117151310,10.1.0.2,45463,10.1.0.3,5001,1,53.0-54.0,53775540,430204320,0.027,14445,51027,28.309,704
20231117151311,10.1.0.2,45463,10.1.0.3,5001,1,54.0-55.0,53778480,430227840,0.015,14434,51018,28.292,785
20231117151312,10.1.0.2,45463,10.1.0.3,5001,1,55.0-56.0,53750550,430004400,0.025,14457,51022,28.335,670
20231117151313,10.1.0.2,45463,10.1.0.3,5001,1,56.0-57.0,54054840,432438720,0.022,14194,50966,27.850,692
20231117151314,10.1.0.2,45463,10.1.0.3,5001,1,57.0-58.0,54269460,434155680,0.013,14153,51071,27.712,627
20231117151315,10.1.0.2,45463,10.1.0.3,5001,1,58.0-59.0,54656070,437248560,0.021,13833,51014,27.116,522
20231117151316,10.1.0.2,45463,10.1.0.3,5001,1,59.0-60.0,53347770,426782160,0.014,14732,51023,28.873,656
20231117151317,10.1.0.2,45463,10.1.0.3,5001,1,60.0-61.0,51311820,410494560,0.022,16077,50983,31.534,21
20231117151317,10.1.0.2,45463,10.1.0.3,5001,1,0.0-61.1,3231221700,423286239,0.532,863120,3061230,28.195,32334
