timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s
20231120104308,10.3.0.2,5001,10.1.0.2,38662,4,0.0-1.0,87939936,703519488
20231120104309,10.3.0.2,5001,10.1.0.2,38662,4,1.0-2.0,85439192,683513536
20231120104310,10.3.0.2,5001,10.1.0.2,38662,4,2.0-3.0,70080384,560643072
20231120104311,10.3.0.2,5001,10.1.0.2,38662,4,3.0-4.0,27522888,220183104
20231120104312,10.3.0.2,5001,10.1.0.2,38662,4,4.0-5.0,27552544,220420352
20231120104313,10.3.0.2,5001,10.1.0.2,38662,4,5.0-6.0,27595984,220767872
20231120104314,10.3.0.2,5001,10.1.0.2,38662,4,6.0-7.0,27448016,219584128
20231120104315,10.3.0.2,5001,10.1.0.2,38662,4,7.0-8.0,27668120,221344960
20231120104316,10.3.0.2,5001,10.1.0.2,38662,4,8.0-9.0,27387472,219099776
20231120104317,10.3.0.2,5001,10.1.0.2,38662,4,9.0-10.0,27651824,221214592
20231120104318,10.3.0.2,5001,10.1.0.2,38662,4,10.0-11.0,27441048,219528384
20231120104319,10.3.0.2,5001,10.1.0.2,38662,4,11.0-12.0,27635664,221085312
20231120104320,10.3.0.2,5001,10.1.0.2,38662,4,12.0-13.0,27507608,220060864
20231120104321,10.3.0.2,5001,10.1.0.2,38662,4,13.0-14.0,27526432,220211456
20231120104322,10.3.0.2,5001,10.1.0.2,38662,4,14.0-15.0,27626344,221010752
20231120104323,10.3.0.2,5001,10.1.0.2,38662,4,15.0-16.0,27406008,219248064
20231120104324,10.3.0.2,5001,10.1.0.2,38662,4,16.0-17.0,27665488,221323904
20231120104325,10.3.0.2,5001,10.1.0.2,38662,4,17.0-18.0,27458424,219667392
20231120104326,10.3.0.2,5001,10.1.0.2,38662,4,18.0-19.0,27523312,220186496
20231120104327,10.3.0.2,5001,10.1.0.2,38662,4,19.0-20.0,27651200,221209600
20231120104328,10.3.0.2,5001,10.1.0.2,38662,4,20.0-21.0,27389048,219112384
20231120104329,10.3.0.2,5001,10.1.0.2,38662,4,21.0-22.0,27650536,221204288
20231120104330,10.3.0.2,5001,10.1.0.2,38662,4,22.0-23.0,27489088,219912704
20231120104331,10.3.0.2,5001,10.1.0.2,38662,4,23.0-24.0,27610312,220882496
20231120104332,10.3.0.2,5001,10.1.0.2,38662,4,24.0-25.0,27505024,220040192
20231120104333,10.3.0.2,5001,10.1.0.2,38662,4,25.0-26.0,27498192,219985536
20231120104334,10.3.0.2,5001,10.1.0.2,38662,4,26.0-27.0,27623432,220987456
20231120104335,10.3.0.2,5001,10.1.0.2,38662,4,27.0-28.0,27431784,219454272
20231120104336,10.3.0.2,5001,10.1.0.2,38662,4,28.0-29.0,27656640,221253120
20231120104337,10.3.0.2,5001,10.1.0.2,38662,4,29.0-30.0,27453000,219624000
20231120104338,10.3.0.2,5001,10.1.0.2,38662,4,30.0-31.0,27585992,220687936
20231120104339,10.3.0.2,5001,10.1.0.2,38662,4,31.0-32.0,27483040,219864320
20231120104340,10.3.0.2,5001,10.1.0.2,38662,4,32.0-33.0,27555712,220445696
20231120104341,10.3.0.2,5001,10.1.0.2,38662,4,33.0-34.0,27635080,221080640
20231120104342,10.3.0.2,5001,10.1.0.2,38662,4,34.0-35.0,27394616,219156928
20231120104343,10.3.0.2,5001,10.1.0.2,38662,4,35.0-36.0,27648112,221184896
20231120104344,10.3.0.2,5001,10.1.0.2,38662,4,36.0-37.0,27430912,219447296
20231120104345,10.3.0.2,5001,10.1.0.2,38662,4,37.0-38.0,27638336,221106688
20231120104346,10.3.0.2,5001,10.1.0.2,38662,4,38.0-39.0,27594656,220757248
20231120104347,10.3.0.2,5001,10.1.0.2,38662,4,39.0-40.0,27418496,219347968
20231120104348,10.3.0.2,5001,10.1.0.2,38662,4,40.0-41.0,27616200,220929600
20231120104349,10.3.0.2,5001,10.1.0.2,38662,4,41.0-42.0,27526296,220210368
20231120104350,10.3.0.2,5001,10.1.0.2,38662,4,42.0-43.0,27533720,220269760
