timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s, Jitter ms, lost datagrams,total datagrams, lost datagrams in %,0
20231120131618,10.4.0.2,30001,10.2.0.2,39503,3,0.0-1.0,119493360,955946880,0.042,0,81288,0.000,0
20231120131619,10.4.0.2,30001,10.2.0.2,39503,3,1.0-2.0,119633010,957064080,0.036,0,81383,0.000,0
20231120131620,10.4.0.2,30001,10.2.0.2,39503,3,2.0-3.0,119616840,956934720,0.036,0,81372,0.000,0
20231120131621,10.4.0.2,30001,10.2.0.2,39503,3,3.0-4.0,119634480,957075840,0.030,0,81384,0.000,0
20231120131622,10.4.0.2,30001,10.2.0.2,39503,3,4.0-5.0,119618310,956946480,0.019,0,81373,0.000,0
20231120131623,10.4.0.2,30001,10.2.0.2,39503,3,5.0-6.0,119635950,957087600,0.024,0,81385,0.000,0
20231120131624,10.4.0.2,30001,10.2.0.2,39503,3,6.0-7.0,119615370,956922960,0.028,0,81371,0.000,0
20231120131625,10.4.0.2,30001,10.2.0.2,39503,3,7.0-8.0,119638890,957111120,0.023,0,81387,0.000,0
20231120131626,10.4.0.2,30001,10.2.0.2,39503,3,8.0-9.0,119615370,956922960,0.023,0,81371,0.000,0
20231120131627,10.4.0.2,30001,10.2.0.2,39503,3,9.0-10.0,119635950,957087600,0.022,0,81385,0.000,0
20231120131628,10.4.0.2,30001,10.2.0.2,39503,3,10.0-11.0,119616840,956934720,0.024,0,81372,0.000,0
20231120131629,10.4.0.2,30001,10.2.0.2,39503,3,11.0-12.0,119637420,957099360,0.020,0,81386,0.000,0
20231120131630,10.4.0.2,30001,10.2.0.2,39503,3,12.0-13.0,119613900,956911200,0.031,0,81370,0.000,0
20231120131631,10.4.0.2,30001,10.2.0.2,39503,3,13.0-14.0,119638890,957111120,0.021,0,81387,0.000,0
20231120131632,10.4.0.2,30001,10.2.0.2,39503,3,14.0-15.0,119616840,956934720,0.044,0,81372,0.000,0
20231120131633,10.4.0.2,30001,10.2.0.2,39503,3,15.0-16.0,119637420,957099360,0.020,0,81386,0.000,0
20231120131634,10.4.0.2,30001,10.2.0.2,39503,3,16.0-17.0,119615370,956922960,0.024,0,81371,0.000,0
20231120131635,10.4.0.2,30001,10.2.0.2,39503,3,17.0-18.0,119637420,957099360,0.035,0,81386,0.000,0
20231120131636,10.4.0.2,30001,10.2.0.2,39503,3,18.0-19.0,119616840,956934720,0.019,0,81372,0.000,0
20231120131637,10.4.0.2,30001,10.2.0.2,39503,3,19.0-20.0,113669220,909353760,0.030,4055,81381,4.983,92
20231120131638,10.4.0.2,30001,10.2.0.2,39503,3,20.0-21.0,119613900,956911200,0.020,0,81370,0.000,0
20231120131639,10.4.0.2,30001,10.2.0.2,39503,3,21.0-22.0,119640360,957122880,0.048,0,81388,0.000,0
20231120131640,10.4.0.2,30001,10.2.0.2,39503,3,22.0-23.0,119618310,956946480,0.044,0,81373,0.000,0
