Time,Bitrate,Delay,Jitter,Loss
0.000000,5136.000000,0.000883,0.000362,0.000000
1.000000,5280.000000,0.000921,0.000346,0.000000
2.000000,5272.000000,0.000883,0.000287,0.000000
3.000000,5432.000000,0.000850,0.000255,0.000000
4.000000,5240.000000,0.000868,0.000304,0.000000
5.000000,5448.000000,0.000828,0.000232,0.000000
6.000000,5368.000000,0.000874,0.000313,0.000000
7.000000,5432.000000,0.000849,0.000271,0.000000
8.000000,5352.000000,0.000852,0.000254,0.000000
9.000000,5368.000000,0.000878,0.000293,0.000000
10.000000,5128.000000,0.000986,0.000374,0.000000
11.000000,5320.000000,0.000872,0.000305,0.000000
12.000000,5232.000000,0.000931,0.000347,0.000000
13.000000,5200.000000,0.000904,0.000357,0.000000
14.000000,5312.000000,0.000866,0.000277,0.000000
15.000000,5264.000000,0.000929,0.000332,0.000000
16.000000,5360.000000,0.000826,0.000242,0.000000
17.000000,5368.000000,0.000883,0.000300,0.000000
18.000000,5376.000000,0.000917,0.000285,0.000000
19.000000,5456.000000,0.000805,0.000209,0.000000
20.000000,5456.000000,0.000855,0.000216,0.000000
21.000000,5536.000000,0.000858,0.000239,0.000000
22.000000,5472.000000,0.000820,0.000239,0.000000
23.000000,5392.000000,0.000866,0.000309,0.000000
24.000000,5496.000000,0.000828,0.000257,0.000000
25.000000,5096.000000,0.001000,0.000437,0.000000
26.000000,5304.000000,0.000894,0.000338,0.000000
27.000000,5200.000000,0.000921,0.000372,0.000000
28.000000,5240.000000,0.000957,0.000393,0.000000
29.000000,5296.000000,0.000927,0.000365,0.000000
30.000000,5448.000000,0.000917,0.000251,0.000000
31.000000,5320.000000,0.000922,0.000330,0.000000
32.000000,5320.000000,0.000920,0.000298,0.000000
33.000000,5536.000000,0.000778,0.000186,0.000000
34.000000,5384.000000,0.000834,0.000252,0.000000
35.000000,5368.000000,0.000879,0.000320,0.000000
36.000000,5320.000000,0.000891,0.000335,0.000000
37.000000,5136.000000,0.000921,0.000359,0.000000
38.000000,5272.000000,0.000921,0.000322,0.000000
39.000000,5216.000000,0.000892,0.000344,0.000000
40.000000,5064.000000,0.000984,0.000444,0.000000
41.000000,5288.000000,0.000942,0.000377,0.000000
42.000000,5232.000000,0.000913,0.000335,0.000000
43.000000,5416.000000,0.000865,0.000254,0.000000
44.000000,5432.000000,0.000825,0.000226,0.000000
45.000000,5336.000000,0.000952,0.000338,0.000000
46.000000,5456.000000,0.000841,0.000221,0.000000
47.000000,5400.000000,0.000864,0.000268,0.000000
48.000000,5376.000000,0.000872,0.000285,0.000000
49.000000,5448.000000,0.000848,0.000232,0.000000
50.000000,5336.000000,0.000852,0.000251,0.000000
51.000000,5304.000000,0.000943,0.000293,0.000000
52.000000,5472.000000,0.000843,0.000247,0.000000
53.000000,5544.000000,0.000815,0.000182,0.000000
54.000000,5352.000000,0.000882,0.000314,0.000000
55.000000,5496.000000,0.000796,0.000225,0.000000
56.000000,5472.000000,0.000838,0.000187,0.000000
57.000000,5304.000000,0.000919,0.000292,0.000000
58.000000,5296.000000,0.000894,0.000299,0.000000
59.000000,5280.000000,0.000894,0.000303,0.000000
