 1,router1 (10.0.0.2),0.217 ms,0.346 ms,0.373 ms,0.369 ms,0.424 ms,0.344 ms,0.330 ms,0.239 ms,0.251 ms,0.252 ms
 2,10.2.0.4 (10.2.0.4),0.601 ms,0.469 ms,0.518 ms,0.595 ms,0.549 ms,0.513 ms,0.451 ms,0.395 ms,0.403 ms,0.528 ms
 3,receiver1 (10.1.0.3),0.580 ms,0.769 ms,0.709 ms,0.766 ms,0.586 ms,0.584 ms,0.795 ms,0.773 ms,0.783 ms,0.783 ms
