 1,router1 (10.0.0.2),0.078 ms,0.102 ms,0.089 ms,0.089 ms,0.093 ms,0.084 ms,0.216 ms,0.238 ms,0.086 ms,0.184 ms
 2,10.2.0.4 (10.2.0.4),0.288 ms,0.131 ms,0.135 ms,0.138 ms,0.287 ms,0.136 ms,0.148 ms,0.277 ms,0.303 ms,0.307 ms
 3,receiver1 (10.1.0.3),0.447 ms,0.342 ms,0.357 ms,0.199 ms,0.229 ms,0.363 ms,0.374 ms,0.388 ms,0.238 ms,0.171 ms
