 1,router1 (10.0.0.2),0.256 ms,0.303 ms,0.331 ms,0.336 ms,0.448 ms,0.298 ms,0.408 ms,0.303 ms,0.413 ms,0.296 ms
 2,10.2.0.4 (10.2.0.4),0.459 ms,0.591 ms,0.625 ms,0.465 ms,0.469 ms,0.471 ms,0.597 ms,0.459 ms,0.462 ms,0.571 ms
 3,receiver1 (10.1.0.3),0.905 ms,1.095 ms,0.804 ms,0.793 ms,0.776 ms,1.085 ms,0.773 ms,0.931 ms,0.929 ms,0.958 ms
